Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Tom,Khimki,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,657,Tom       3-1 Khimki
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-03,Luch-Ener,Spartak N,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus07.html,659,Luch-Ener 2-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Saturn,Zenit,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,663,Saturn    0-1 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Spartak M,Dinamo,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus07.html,665,Spartak M 2-1 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Rubin,CSKA,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus07.html,667,Rubin     0-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Moskva,Luch-Ener,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,669,Moskva    3-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Lokomotiv,Kuban,2,3,2-3,0-1,https://www.rsssf.org/tablesr/rus07.html,671,Lokomotiv 2-3 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Khimki,Krylya S,4,1,4-1,1-0,https://www.rsssf.org/tablesr/rus07.html,674,Khimki    4-1 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Spartak N,Tom,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,677,Spartak N 1-0 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-11-11,Rostov,Amkar,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus07.html,679,Rostov    2-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-14,Terek,Krylya S,0,3,0-3,0-1,https://www.rsssf.org/tablesr/rus08.html,37,Terek     0-3 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-15,Spartak N,Saturn,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus08.html,41,Spartak N 2-1 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-15,Khimki,Amkar,0,3,0-3,0-1,https://www.rsssf.org/tablesr/rus08.html,44,Khimki    0-3 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-15,CSKA,Shinnik,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus08.html,46,CSKA      1-1 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-16,Zenit,Spartak M,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus08.html,49,Zenit     0-0 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-16,Tom,Dinamo,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus08.html,51,Tom       0-0 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-16,Lokomotiv,Rubin,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus08.html,53,Lokomotiv 0-1 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-16,Luch-Ener,Moskva,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus08.html,55,Luch-Ener 1-1 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-22,Krylya S,CSKA,0,2,0-2,0-1,https://www.rsssf.org/tablesr/rus08.html,60,Krylya S  0-2 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2008,2008-03-22,Spartak M,Tom,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus08.html,62,Spartak M 1-0 Tom
