Country,Competition,Season,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
England,national_league,2024/25,National League,552,552,0,24,2024-08-10,2025-05-05,0,PRESENT
England,national_league,2025/26,National League,551,296,255,24,2025-08-09,2026-04-25,0,PARTIAL
England,premier_league,2019/20,Premier League,380,380,0,20,2019-08-09,2020-07-26,0,PRESENT
England,premier_league,2020/21,Premier League,380,380,0,20,2020-09-12,2021-05-23,0,PRESENT
England,premier_league,2021/22,Premier League,380,380,0,20,2021-08-13,2022-05-22,0,PRESENT
England,premier_league,2022/23,Premier League,380,380,0,20,2022-08-05,2023-05-28,0,PRESENT
England,premier_league,2023/24,Premier League,380,380,0,20,2023-08-11,2024-05-19,0,PRESENT
England,premier_league,2024/25,Premier League,380,380,0,20,2024-08-16,2025-05-25,0,PRESENT
England,premier_league,2025/26,Premier League,380,380,0,20,2025-08-15,2026-05-24,0,PRESENT
France,ligue_1,2019/20,Ligue 1,279,279,0,20,2019-08-09,2020-03-08,0,PRESENT
France,ligue_1,2020/21,Ligue 1,380,380,0,20,2020-08-21,2021-05-23,0,PRESENT
France,ligue_1,2021/22,Ligue 1,380,380,0,20,2021-08-06,2022-05-21,0,PRESENT
France,ligue_1,2022/23,Ligue 1,380,380,0,20,2022-08-05,2023-06-03,0,PRESENT
France,ligue_1,2023/24,Ligue 1,306,306,0,18,2023-08-11,2024-05-19,0,PRESENT
France,ligue_1,2024/25,Ligue 1,306,306,0,18,2024-08-16,2025-05-17,0,PRESENT
France,ligue_1,2025/26,Ligue 1,306,306,0,18,2025-08-15,2026-05-17,0,PRESENT
France,ligue_2,2019/20,Ligue 2,280,280,0,20,2019-07-26,2020-07-29,0,PRESENT
France,ligue_2,2020/21,Ligue 2,380,380,0,20,2020-08-22,2021-05-15,0,PRESENT
France,ligue_2,2021/22,Ligue 2,380,380,0,20,2021-07-24,2022-07-31,0,PRESENT
France,ligue_2,2022/23,Ligue 2,380,380,0,20,2022-07-30,2023-06-02,0,PRESENT
France,ligue_2,2023/24,Ligue 2,380,380,0,20,2023-08-05,2024-05-17,0,PRESENT
France,ligue_2,2024/25,Ligue 2,306,306,0,18,2024-08-16,2025-05-10,0,PRESENT
France,ligue_2,2025/26,Ligue 2,305,116,189,18,2025-08-09,2026-05-08,0,PARTIAL
Germany,bundesliga,2019/20,Bundesliga,306,306,0,18,2019-08-16,2020-06-27,0,PRESENT
Germany,bundesliga,2020/21,Bundesliga,306,306,0,18,2020-09-18,2021-05-22,0,PRESENT
Germany,bundesliga,2021/22,Bundesliga,306,306,0,18,2021-08-13,2022-05-14,0,PRESENT
