Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2012-10-07,2012,Norway,Eliteserien,1,Domestic,Sogndal,Lillestrøm,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-10-07,2012,Norway,Eliteserien,1,Domestic,Stabæk,Tromsø,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-10-08,2012,Norway,Eliteserien,1,Domestic,Brann,Hønefoss BK,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-10-19,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Sandnes Ulf,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-10-20,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Odd Grenland,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-10-21,2012,Norway,Eliteserien,1,Domestic,Aalesund,Vålerenga,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-10-21,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Stabæk,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-10-21,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Molde,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-10-21,2012,Norway,Eliteserien,1,Domestic,Tromsø,Haugesund,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-10-21,2012,Norway,Eliteserien,1,Domestic,Viking,Sogndal,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-10-22,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Brann,3,4,score,3-4,A,wikipedia,wikipedia,football-data
