MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8770318,2059,Grand Prix,1988,1988-10-10,1988-10-23,927,3488,5,2,927,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770319,2059,Grand Prix,1988,1988-10-10,1988-10-23,3584,3468,5,4,3584,2024-07-10T13:15:35Z,matches_1988_event_2059.csv
8770544,2059,Grand Prix,1988,1988-10-10,1988-10-23,3445,3495,4,5,3495,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770545,2059,Grand Prix,1988,1988-10-10,1988-10-23,3732,3481,5,3,3732,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770546,2059,Grand Prix,1988,1988-10-10,1988-10-23,3507,669,1,5,669,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770547,2059,Grand Prix,1988,1988-10-10,1988-10-23,2870,3514,5,3,2870,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770548,2059,Grand Prix,1988,1988-10-10,1988-10-23,1052,504,5,4,1052,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770549,2059,Grand Prix,1988,1988-10-10,1988-10-23,3737,710,5,1,3737,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770550,2059,Grand Prix,1988,1988-10-10,1988-10-23,3288,3605,5,1,3288,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770551,2059,Grand Prix,1988,1988-10-10,1988-10-23,449,3706,5,1,449,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770552,2059,Grand Prix,1988,1988-10-10,1988-10-23,2875,3498,4,5,3498,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770553,2059,Grand Prix,1988,1988-10-10,1988-10-23,3491,3385,5,3,3491,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770554,2059,Grand Prix,1988,1988-10-10,1988-10-23,804,223,5,1,804,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770555,2059,Grand Prix,1988,1988-10-10,1988-10-23,3460,3512,1,5,3512,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770556,2059,Grand Prix,1988,1988-10-10,1988-10-23,409,3500,5,2,409,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770557,2059,Grand Prix,1988,1988-10-10,1988-10-23,3456,3750,5,0,3456,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770558,2059,Grand Prix,1988,1988-10-10,1988-10-23,3696,3248,1,5,3248,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770559,2059,Grand Prix,1988,1988-10-10,1988-10-23,3463,3451,5,4,3463,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770560,2059,Grand Prix,1988,1988-10-10,1988-10-23,3321,3751,5,4,3321,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770561,2059,Grand Prix,1988,1988-10-10,1988-10-23,800,3710,5,3,800,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770562,2059,Grand Prix,1988,1988-10-10,1988-10-23,3444,3697,5,4,3444,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770563,2059,Grand Prix,1988,1988-10-10,1988-10-23,3501,3269,2,5,3269,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770564,2059,Grand Prix,1988,1988-10-10,1988-10-23,3473,3711,2,5,3711,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770565,2059,Grand Prix,1988,1988-10-10,1988-10-23,3504,3701,5,1,3504,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770566,2059,Grand Prix,1988,1988-10-10,1988-10-23,1355,4306,5,3,1355,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770567,2059,Grand Prix,1988,1988-10-10,1988-10-23,3699,3510,0,5,3510,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770568,2059,Grand Prix,1988,1988-10-10,1988-10-23,3242,3758,3,5,3758,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770569,2059,Grand Prix,1988,1988-10-10,1988-10-23,3306,3316,3,5,3316,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770570,2059,Grand Prix,1988,1988-10-10,1988-10-23,3489,3496,3,5,3496,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770571,2059,Grand Prix,1988,1988-10-10,1988-10-23,3261,3702,5,1,3261,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770572,2059,Grand Prix,1988,1988-10-10,1988-10-23,802,3472,5,4,802,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770573,2059,Grand Prix,1988,1988-10-10,1988-10-23,3475,3349,4,5,3349,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770574,2059,Grand Prix,1988,1988-10-10,1988-10-23,3509,927,5,1,3509,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770575,2059,Grand Prix,1988,1988-10-10,1988-10-23,712,3584,5,3,712,2024-07-10T13:39:17Z,matches_1988_event_2059.csv
8770512,2059,Grand Prix,1988,1988-10-10,1988-10-23,153,3495,5,2,153,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770513,2059,Grand Prix,1988,1988-10-10,1988-10-23,806,3732,5,1,806,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770514,2059,Grand Prix,1988,1988-10-10,1988-10-23,3484,669,1,5,669,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770515,2059,Grand Prix,1988,1988-10-10,1988-10-23,2874,2870,5,3,2874,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770516,2059,Grand Prix,1988,1988-10-10,1988-10-23,2879,1052,4,5,1052,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770517,2059,Grand Prix,1988,1988-10-10,1988-10-23,3449,3737,5,3,3449,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770518,2059,Grand Prix,1988,1988-10-10,1988-10-23,181,3288,5,4,181,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770519,2059,Grand Prix,1988,1988-10-10,1988-10-23,659,449,5,3,659,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770520,2059,Grand Prix,1988,1988-10-10,1988-10-23,408,3498,5,3,408,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770522,2059,Grand Prix,1988,1988-10-10,1988-10-23,2184,804,3,5,804,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770523,2059,Grand Prix,1988,1988-10-10,1988-10-23,3515,3512,5,2,3515,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770524,2059,Grand Prix,1988,1988-10-10,1988-10-23,2878,409,5,4,2878,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770525,2059,Grand Prix,1988,1988-10-10,1988-10-23,667,3456,5,4,667,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770526,2059,Grand Prix,1988,1988-10-10,1988-10-23,668,3248,5,4,668,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770527,2059,Grand Prix,1988,1988-10-10,1988-10-23,452,3463,1,5,3463,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770528,2059,Grand Prix,1988,1988-10-10,1988-10-23,20,3321,5,0,20,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770529,2059,Grand Prix,1988,1988-10-10,1988-10-23,3487,800,2,5,800,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770530,2059,Grand Prix,1988,1988-10-10,1988-10-23,1298,3444,2,5,3444,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
8770531,2059,Grand Prix,1988,1988-10-10,1988-10-23,2876,3269,5,3,2876,2024-07-10T13:42:50Z,matches_1988_event_2059.csv
