PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
46,Liu Song,China,19,201,95,0.472636815920398,2600,2644.26678493922,44.2667849392187
3254,Stephen O'Connor,Ireland,15,206,110,0.533980582524272,2600,2644.26012423946,44.2601242394562
911,Adrian Ridley,Australia,38,201,94,0.467661691542289,2600,2643.35520774996,43.355207749958
36,Jimmy Michie,England,17,215,110,0.511627906976744,2600,2643.16985781038,43.1698578103842
1737,David John,Wales,32,203,87,0.428571428571429,2600,2643.16031377606,43.1603137760567
1201,Zachary Richardson,England,37,203,110,0.541871921182266,2600,2643.10805575312,43.1080557531195
933,Chen Zifan,China,35,201,93,0.462686567164179,2600,2642.95583952816,42.955839528162
2758,Stan Moody,England,37,200,95,0.475,2600,2642.6956928464,42.6956928463956
2620,Peng Yisong,China,32,201,73,0.36318407960199,2600,2642.6512239034,42.6512239033959
713,John Lardner,Scotland,17,203,99,0.487684729064039,2600,2642.54227585187,42.5422758518712
3,Jamie Cope,England,22,209,106,0.507177033492823,2600,2642.34302814736,42.3430281473561
941,Lin Shuai,China,35,202,94,0.465346534653465,2600,2642.30116222626,42.3011622262579
1465,Antoni Kowalski,Poland,38,200,100,0.5,2600,2641.89681973879,41.8968197387849
1195,Stuart Mann,England,16,202,110,0.544554455445545,2600,2641.42416106943,41.4241610694298
3460,Warren King,Australia,24,208,98,0.471153846153846,2600,2641.34993539925,41.3499353992479
1923,Ben Mertens,Belgium,44,210,102,0.485714285714286,2600,2641.33013212414,41.3301321241443
120,Martin O'Donnell,England,36,202,102,0.504950495049505,2600,2641.311089407,41.3110894070028
124,Michael Wild,England,33,206,108,0.524271844660194,2600,2641.25792170059,41.2579217005873
982,Harvey Chandler,England,32,200,81,0.405,2600,2640.88531493709,40.885314937088
1323,Ashley Hugill,England,38,200,99,0.495,2600,2640.84064149186,40.8406414918609
1211,Joe Roberts,England,37,203,106,0.522167487684729,2600,2640.69467796638,40.6946779663808
11,Marcus Campbell,Scotland,17,200,101,0.505,2600,2640.66687405255,40.6668740525515
118,David Gilbert,England,18,201,103,0.512437810945274,2600,2640.13548987234,40.1354898723389
1101,Niu Zhuang,China,35,205,82,0.4,2600,2640.11118981382,40.1111898138224
269,Gareth Allen,Wales,39,205,106,0.517073170731707,2600,2640.07914442012,40.0791444201186
2747,Hayden Staniland,England,43,202,99,0.49009900990099,2600,2639.83897656301,39.838976563005
24,Xiao Guodong,China,23,217,104,0.47926267281106,2600,2639.14832151539,39.1483215153899
1552,Andres Petrov,Estonia,41,201,98,0.487562189054726,2600,2639.13276865045,39.132768650446
546,Gary Wilson,England,24,206,104,0.504854368932039,2600,2639.10916879326,39.1091687932626
1567,Simon Lichtenberg,Germany,38,205,101,0.492682926829268,2600,2639.0032455408,39.0032455408018
724,Ashley Carty,England,35,202,98,0.485148514851485,2600,2638.80075116595,38.8007511659489
2439,Liam Graham,Scotland,41,214,103,0.481308411214953,2600,2638.59127350896,38.5912735089578
2878,Alex Higgins,Northern Ireland,17,204,110,0.53921568627451,2600,2638.14940218891,38.1494021889112
34,Michael Wasley,England,35,200,99,0.495,2600,2638.02005510557,38.0200551055723
3221,Gary Ponting,England,16,206,104,0.504854368932039,2600,2637.94112530171,37.9411253017056
339,Maimaiti Rouzi,China,34,200,89,0.445,2600,2637.65906265991,37.6590626599095
101,Luca Brecel,Belgium,35,202,94,0.465346534653465,2600,2637.43031609751,37.4303160975128
2184,Willie Thorne,England,14,205,106,0.517073170731707,2600,2637.31501397125,37.3150139712461
82,Ian Glover,England,36,202,102,0.504950495049505,2600,2637.15475103049,37.154751030494
163,Farakh Ajaib,Pakistan,38,203,104,0.512315270935961,2600,2636.98072466308,36.9807246630799
1177,Michael Collumb,Scotland,38,200,101,0.505,2600,2636.9709910584,36.9709910584002
173,Paul Davies,Wales,19,200,101,0.505,2600,2636.94453942695,36.9445394269487
207,Nick Pearce,England,17,201,101,0.502487562189055,2600,2636.93723775385,36.9372377538521
