name,rating,games,last_historical_game
Chen Rui,3025.8364693047283,26,2011-06-22
Chen Runtao,3118.903381122345,2,2013-07-27
Chen Shaoquan,2962.5294079244018,93,2025-12-08
Chen Shi,3086.36025678861,10,2007-04-21
Chen Shien,3091.0646474503837,2,2010-04-04
Chen Shiyuan,3229.5059020764184,525,2025-12-10
Chen Shoulian,3151.3930989877113,114,2025-12-29
Chen Si,3050.842490362776,7,2017-07-05
Chen Siqi,3084.005767928744,2,2012-11-17
Chen Siyuan,3110.3403808632884,1,2017-06-15
Chen Tianxiao,3086.3304596500934,1,2014-01-09
Chen Wanyu,3060.4228623428544,3,2017-12-14
Chen Wei,3077.518528589231,5,2008-10-14
Chen Weiting,3057.450362854098,135,2025-12-15
Chen Wenzheng,3112.1336226593803,7,2017-06-25
Chen Xi,2983.4203804004183,64,2024-05-14
Chen Xian,3400.6077074852046,267,2025-12-09
Chen Xianhui,3100.8478315488205,3,1984-09-27
Chen Xiaonan,3194.411860580512,120,2016-09-12
Chen Xiaotian,3115.108684889355,2,2025-06-17
Chen Ximing,3063.817606196349,11,2000-11-18
Chen Xinyang,2971.6293883895346,28,2025-12-11
Chen Xudong,3116.1147723176296,4,2019-11-14
Chen Yafeng,3090.0011490586085,8,2019-09-29
Chen Yan,3075.762562905615,1,1998-09-15
Chen Yang,3100.6468083428585,3,2023-03-22
Chen Yanru,3071.8858775535887,5,2023-02-06
Chen Yanxiang,3099,1,1943-11-20
Chen Yaoye,3430.1177724207473,905,2025-10-19
Chen Yida,2889.123940514777,82,2023-06-26
Chen Yifu,3076.8432215613716,4,2024-10-12
Chen Yihang,3096.5662189207246,1,2024-11-02
Chen Yijun,3194.9627305207036,75,2025-11-29
Chen Yiming,3137.2262300386465,229,2025-10-30
Chen Yiming + YiTianran,3099,1,2018-08-25
Chen Yiming + YiTianrang,3098.2399854198206,1,2018-10-11
Chen Ying,3095.703963852389,1,2011-09-07
Chen Yingjia,3039.7540680844977,32,2025-11-12
Chen Yixiang,2928.8993395435573,46,2025-09-08
Chen Yizhe,3107.535544391046,6,2025-02-24
Chen Yongan,2879.609699483184,51,2019-09-08
Chen Yongqi,3075.3261830829015,2,2012-10-18
Chen Yu,3099,1,2008-02-17
Chen Yunong,3458.112003918637,109,2025-12-16
Chen Yusen,3123.275131201168,38,2025-06-12
Chen Yuta,3098.6269627443344,1,2006-05-29
Chen Zhaofeng,3056.066327681629,6,2000-11-19
Chen Zhaonian,3043.906839563876,7,2025-04-10
Chen Zhengxun,3279.231531673967,158,2025-11-29
Chen Zhigang,3048.9997103607884,25,1989-06-07
Chen Zhixian,3084.9869608346557,2,2013-12-22
Chen Zhixuan,3097.100675667284,1,2011-05-30
Chen Zijian,3498.040385453894,239,2025-12-09
Chen Zijing,3098.1775714674914,1,2017-01-05
Chen Zude,3161.639324496844,243,2010-12-21
Cheng Honghao,3137.314695133325,8,2024-06-05
Cheng Jiaye,3148.1592364595417,23,2025-08-01
Cheng Lan,3101,1,1999-01-06
Cheng Linghao,3099.524795024139,1,2009-11-14
Cheng Shijiao,3088.4038967505026,1,2017-01-06
Cheng Wei,3084.8177318244334,2,2008-10-06
Cheng Xiaoliu,2937.7943970300216,55,2000-11-20
Cheng Xiaoqing,3099,1,2025-11-12
Cheng Zhengyu,3081.8399256576627,9,1987-11-01
Cheon Chunhak,3087.168536553971,2,2016-04-01
Cheon Munsoo,3100.353372981594,2,1995-01-06
Cheon Seunghyeon,3099,1,1994-05-29
Cheon Sunkil,3079.7405976502846,1,1968-08-05
