Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2026-05-16,Poltava,Dynamo,0-2,sc_poltava,dynamo_kyiv,sc_poltava|||dynamo_kyiv|||0-2
2026-05-16,Metalist'25,Epicenter,1-1,metalist_1925,epicenter,metalist_1925|||epicenter|||1-1
2026-05-17,Kryvbas,Sachtar,2-3,kryvbas_kryvyi_rih,shakhtar_donetsk,kryvbas_kryvyi_rih|||shakhtar_donetsk|||2-3
2026-05-17,Kolos,Obolon,0-2,kolos_kovalivka,obolon_kyiv,kolos_kovalivka|||obolon_kyiv|||0-2
2026-05-17,Karpaty,Veres,2-0,karpaty_lviv,veres_rivne,karpaty_lviv|||veres_rivne|||2-0
2026-05-18,Kudrivka,LNZ,1-0,kudrivka,lnz_cherkasy,kudrivka|||lnz_cherkasy|||1-0
2026-05-18,Zorja,Polissja,0-0,zorya_luhansk,polissya_zhytomyr,zorya_luhansk|||polissya_zhytomyr|||0-0
2026-05-21,Sachtar,Kolos,0-1,shakhtar_donetsk,kolos_kovalivka,shakhtar_donetsk|||kolos_kovalivka|||0-1
2026-05-23,Olexandrija,Kryvbas,1-1,oleksandriya,kryvbas_kryvyi_rih,oleksandriya|||kryvbas_kryvyi_rih|||1-1
2026-05-23,Karpaty,Zorja,1-2,karpaty_lviv,zorya_luhansk,karpaty_lviv|||zorya_luhansk|||1-2
2026-05-23,Epicenter,Poltava,0-0,epicenter,sc_poltava,epicenter|||sc_poltava|||0-0
2026-05-24,Obolon,LNZ,0-1,obolon_kyiv,lnz_cherkasy,obolon_kyiv|||lnz_cherkasy|||0-1
2026-05-24,Dynamo,Kudrivka,3-2,dynamo_kyiv,kudrivka,dynamo_kyiv|||kudrivka|||3-2
2026-05-24,Veres,Metalist'25,0-1,veres_rivne,metalist_1925,veres_rivne|||metalist_1925|||0-1
