Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Romania,Superliga,2017/2018,19/08/2017,16:30,Gaz Metan Medias,Poli Timisoara,0,2,A,2.7,3.19,2.9,2.8,3.19,3.04,2.56,3.04,2.76,,,,,,,2017-08-19,gaz metan medias,poli timisoara,gaz metan medias|||poli timisoara|||0|||2,1,44
Romania,Superliga,2017/2018,19/08/2017,19:00,Daco-Getica Bucuresti,FCSB,1,2,A,5.37,4.03,1.68,6,4.03,1.72,5.03,3.63,1.65,,,,,,,2017-08-19,daco getica bucuresti,fcsb,daco getica bucuresti|||fcsb|||1|||2,1,45
Romania,Superliga,2017/2018,20/08/2017,19:00,CFR Cluj,FC Voluntari,2,0,H,1.45,4.48,8.34,1.45,4.75,9.5,1.41,4.28,7.47,,,,,,,2017-08-20,cfr cluj,fc voluntari,cfr cluj|||fc voluntari|||2|||0,1,47
Romania,Superliga,2017/2018,21/08/2017,16:30,FC Botosani,Concordia,2,1,H,1.83,3.53,5,1.95,3.84,5.5,1.78,3.37,4.59,,,,,,,2017-08-21,fc botosani,concordia,fc botosani|||concordia|||2|||1,1,48
Romania,Superliga,2017/2018,21/08/2017,19:00,Din. Bucuresti,Sepsi Sf. Gheorghe,1,0,H,1.26,5.76,16.22,1.28,5.8,17,1.24,5.13,12.87,,,,,,,2017-08-21,din bucuresti,sepsi,din bucuresti|||sepsi|||1|||0,1,49
Romania,Superliga,2017/2018,25/08/2017,16:30,Astra,Daco-Getica Bucuresti,2,0,H,1.63,3.87,6.42,1.74,4.1,6.42,1.65,3.59,5.14,,,,,,,2017-08-25,astra,daco getica bucuresti,astra|||daco getica bucuresti|||2|||0,1,50
Romania,Superliga,2017/2018,26/08/2017,16:30,Poli Timisoara,CFR Cluj,4,3,H,4.96,3.44,1.86,5.12,3.46,1.91,4.47,3.28,1.81,,,,,,,2017-08-26,poli timisoara,cfr cluj,poli timisoara|||cfr cluj|||4|||3,1,52
Romania,Superliga,2017/2018,26/08/2017,19:00,FC Voluntari,Din. Bucuresti,1,3,A,5.15,3.67,1.78,5.25,3.7,1.85,4.42,3.44,1.78,,,,,,,2017-08-26,fc voluntari,din bucuresti,fc voluntari|||din bucuresti|||1|||3,1,53
Romania,Superliga,2017/2018,27/08/2017,16:30,Concordia,Viitorul Constanta,1,2,A,2.7,3.04,3.02,2.72,3.1,3.17,2.51,2.96,2.88,,,,,,,2017-08-27,concordia,viitorul constanta,concordia|||viitorul constanta|||1|||2,1,54
Romania,Superliga,2017/2018,27/08/2017,19:00,FCSB,FC Botosani,2,0,H,1.47,4.4,8.09,1.48,4.4,9,1.43,4.15,7.21,,,,,,,2017-08-27,fcsb,fc botosani,fcsb|||fc botosani|||2|||0,1,55
Romania,Superliga,2017/2018,08/09/2017,18:30,FC Botosani,Astra,1,3,A,2.54,3.14,3.15,2.62,3.2,3.22,2.41,3.01,3,,,,,,,2017-09-08,fc botosani,astra,fc botosani|||astra|||1|||3,1,57
Romania,Superliga,2017/2018,09/09/2017,16:00,Daco-Getica Bucuresti,Poli Iasi,2,2,D,2.85,2.91,2.99,2.85,3.1,3.06,2.63,2.9,2.8,,,,,,,2017-09-09,daco getica bucuresti,politehnica_iasi,daco getica bucuresti|||politehnica_iasi|||2|||2,1,58
Romania,Superliga,2017/2018,10/09/2017,16:00,Sepsi Sf. Gheorghe,FC Voluntari,0,3,A,3.77,2.93,2.37,3.84,3.2,2.41,3.35,2.94,2.28,,,,,,,2017-09-10,sepsi,fc voluntari,sepsi|||fc voluntari|||0|||3,1,60
Romania,Superliga,2017/2018,11/09/2017,16:00,Gaz Metan Medias,Concordia,1,2,A,2.32,3.14,3.56,2.55,3.17,3.64,2.26,3.02,3.29,,,,,,,2017-09-11,gaz metan medias,concordia,gaz metan medias|||concordia|||1|||2,1,62
