Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2015-05-03,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Steaua București,1,3,1-3,A,wikipedia,wikipedia,football-data
2015-05-03,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-05-04,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Rapid București,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-05-04,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Petrolul Ploiești,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-05-08,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Brașov,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-05-08,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Dinamo București,0,2,0-2,A,wikipedia,wikipedia,football-data
2015-05-09,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Universitatea Cluj,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-05-09,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,CSMS Iași,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-05-10,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Botoșani,4,0,4-0,H,wikipedia,wikipedia,football-data
2015-05-10,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Târgu Mureș,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-05-10,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Concordia Chiajna,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-05-11,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Oțelul Galați,4,1,4-1,H,wikipedia,wikipedia,football-data
2015-05-11,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Rapid București,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-05-15,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Pandurii Târgu Jiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-05-15,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-05-16,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Steaua București,2,3,2-3,A,wikipedia,wikipedia,football-data
2015-05-16,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,CFR Cluj,0,3,0-3,A,wikipedia,wikipedia,football-data
2015-05-16,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Petrolul Ploiești,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-05-17,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Viitorul Constanța,2,0,2-0,H,wikipedia,wikipedia,football-data
